attribution_model,channel,attributed_conversions,attributed_revenue,total_spend,roas,cac
First-Touch,Direct,15.0,4161.15,0.0,0.0,0.0
First-Touch,Email,6.0,784.76,10.14,77.39250493096647,1.6900000000000002
First-Touch,Google Ads,30.0,7261.86,723.08,10.04295513636112,24.102666666666668
First-Touch,LinkedIn Ads,15.0,2990.53,685.33,4.363635037135395,45.68866666666667
First-Touch,Meta Ads,35.0,10690.63,401.32,26.63866739758796,11.466285714285714
First-Touch,Organic Search,48.0,16715.44,0.0,0.0,0.0
First-Touch,Referral,13.0,4290.84,0.0,0.0,0.0
First-Touch,TikTok Ads,47.0,14191.54,101.07,140.4129811022064,2.1504255319148933
Last-Touch,Direct,48.0,15021.46,0.0,0.0,0.0
Last-Touch,Email,40.0,12322.49,10.14,1215.2357001972387,0.2535
Last-Touch,Google Ads,67.0,19152.57,723.08,26.487484095812356,10.79223880597015
Last-Touch,LinkedIn Ads,13.0,4825.41,685.33,7.041002144952066,52.71769230769231
Last-Touch,Meta Ads,4.0,597.62,401.32,1.4891358516894249,100.33
Last-Touch,Organic Search,29.0,7363.0199999999995,0.0,0.0,0.0
Last-Touch,Referral,5.0,722.89,0.0,0.0,0.0
Last-Touch,TikTok Ads,3.0,1081.29,101.07,10.698426832888098,33.69
Linear,Direct,24.597619047619048,7630.145523809524,0.0,0.0,0.0
Linear,Email,22.66190476190476,6094.519809523809,10.14,601.0374565605334,0.4474469426350074
Linear,Google Ads,44.35952380952381,12877.621452380952,723.08,17.809400692013266,16.300445494069027
Linear,LinkedIn Ads,19.685714285714287,6143.490357142857,685.33,8.964280503031906,34.813570391872275
Linear,Meta Ads,24.55,7263.14680952381,401.32,18.09814315140987,16.34704684317719
Linear,Organic Search,39.62619047619047,12135.88457142857,0.0,0.0,0.0
Linear,Referral,13.526190476190475,3256.868119047619,0.0,0.0,0.0
Linear,TikTok Ads,19.992857142857144,5685.073357142857,101.07,56.24887065541563,5.055305466237941
