attribution_model,journey_id,channel,campaign,attributed_conversions,attributed_revenue
First-Touch,J00001,TikTok Ads,creator_spark,1.0,267.15
First-Touch,J00004,Google Ads,brand_search,1.0,109.37
First-Touch,J00006,Referral,affiliate_blog,1.0,352.78
First-Touch,J00008,Google Ads,high_intent_keywords,1.0,127.44
First-Touch,J00011,Organic Search,comparison_page,1.0,89.24
First-Touch,J00022,Meta Ads,lookalike_1pct,1.0,255.98
First-Touch,J00023,Organic Search,seo_blog,1.0,114.16
First-Touch,J00025,TikTok Ads,short_video_awareness,1.0,331.74
First-Touch,J00026,LinkedIn Ads,decision_makers,1.0,284.58
First-Touch,J00027,Meta Ads,lookalike_1pct,1.0,126.92
First-Touch,J00029,Meta Ads,interest_stack,1.0,93.06
First-Touch,J00031,Google Ads,competitor_search,1.0,120.4
First-Touch,J00033,Direct,direct_visit,1.0,131.2
First-Touch,J00034,Meta Ads,retargeting,1.0,273.58
First-Touch,J00035,TikTok Ads,short_video_awareness,1.0,98.75
First-Touch,J00036,TikTok Ads,creator_spark,1.0,118.15
First-Touch,J00037,LinkedIn Ads,b2b_leads,1.0,275.36
First-Touch,J00039,Google Ads,brand_search,1.0,391.66
First-Touch,J00040,Google Ads,high_intent_keywords,1.0,97.75
First-Touch,J00041,TikTok Ads,ugc_demo,1.0,91.15
First-Touch,J00042,TikTok Ads,ugc_demo,1.0,123.16
First-Touch,J00043,Direct,direct_visit,1.0,122.98
First-Touch,J00045,Organic Search,how_to_guide,1.0,96.82
First-Touch,J00059,TikTok Ads,short_video_awareness,1.0,388.07
First-Touch,J00060,Referral,software_review,1.0,336.43
First-Touch,J00063,LinkedIn Ads,b2b_leads,1.0,355.86
First-Touch,J00066,TikTok Ads,short_video_awareness,1.0,956.18
First-Touch,J00067,Organic Search,how_to_guide,1.0,1106.53
First-Touch,J00068,Meta Ads,retargeting,1.0,361.79
First-Touch,J00069,Google Ads,high_intent_keywords,1.0,1141.31
